Date Time Temperature_Comedor_Sensor Temperature_Habitacion_Sensor Weather_Temperature CO2_Comedor_Sensor CO2_Habitacion_Sensor Humedad_Comedor_Sensor Humedad_Habitacion_Sensor Lighting_Comedor_Sensor Lighting_Habitacion_Sensor Precipitacion Meteo_Exterior_Crepusculo Meteo_Exterior_Viento Meteo_Exterior_Sol_Oest Meteo_Exterior_Sol_Est Meteo_Exterior_Sol_Sud Meteo_Exterior_Piranometro Exterior_Entalpic_1 Exterior_Entalpic_2 Exterior_Entalpic_turbo Temperature_Exterior_Sensor Humedad_Exterior_Sensor Day_Of_Week
13/03/2012 11:45 18.1875 17.8275 0 216.56 221.92 39.9125 42.415 81.665 113.52 0 623.36 1.42625 9690.24 12604.2 95436.8 758.88 0 0 0 18.115 48.375 2
13/03/2012 12:00 18.4633 18.1207 6.8 219.947 220.363 39.9267 42.2453 81.7413 113.605 0 623.211 1.592 11022 10787.2 95436.8 762.069 0 0 0 18.4147 47.808 2
13/03/2012 12:15 18.7673 18.4367 17 219.403 218.933 39.772 42.2267 81.424 113.6 0 622.656 1.89133 13960.5 9669.63 95398.6 766.251 0 0 0 18.8533 47.432 2
13/03/2012 12:30 19.0727 18.7513 18 218.613 217.045 39.776 42.0987 81.5013 113.344 0 622.571 1.828 18511.2 9648.13 95360.3 766.037 0 0 0 19.2907 47.024 2
13/03/2012 12:45 19.3721 19.0414 20 217.714 216.08 39.7757 42.0686 81.4657 113.034 0 622.4 2.36071 26349 9208.32 95354.9 762.743 0 0 0 19.74 45.4743 2
13/03/2012 13:00 19.6407 19.2773 20 218.389 216.011 39.8107 42.0347 81.2427 113.6 0 622.4 2.06333 36511.7 8694.78 95354.9 752.683 0 0 0 20.166 45.5467 2
13/03/2012 13:15 19.912 19.5367 20 218.155 215.829 39.8613 41.9947 81.36 112.981 0 622.4 2.23067 49288.5 8501.25 95354.9 740.949 0 0 0 20.566 44.968 2
13/03/2012 13:30 20.164 19.7307 20 216.661 215.296 39.824 41.9947 81.024 111.259 0 621.803 1.924 62253.7 8687.62 95174.7 721.109 0 0 0 20.8427 45.1813 2
13/03/2012 13:45 20.412 19.9693 20 217.461 214.549 39.9587 42.1253 81.104 83.3547 0 620.651 2.51067 71453.4 8888.32 91848.7 699.392 0 0 0 21.204 45.416 2
13/03/2012 14:00 20.64 20.1407 20 215.349 213.909 39.94 42.0427 81.1813 83.36 0 620.309 2.65333 80076.8 9046.02 87217.5 677.675 0 0 0 21.5227 45.0213 2
13/03/2012 14:15 20.8453 20.3267 20 213.888 213.312 39.9813 42.1787 61.0693 83.6107 0 619.755 2.82667 86682.3 9182.21 81720.7 648.427 0 0 0 21.756 44.36 2
13/03/2012 14:30 21.0333 20.4713 20 215.413 213.739 40.3587 42.7067 51.2373 59.952 0 619.712 2.49467 88648.4 9347.07 75380.1 615.68 0 0 0 21.984 44.7947 2
13/03/2012 14:45 21.2333 20.9093 20 216.021 222.528 40.9107 41.5147 43.3733 52.824 0 619.328 2.466 91406.3 9712.64 68515.2 582.869 0 0 0 22.108 43.984 2
